,Song,Artist(s),Writer(s),Album,Year,Lyrics,Type
104,I Think He Knows,Taylor Swift,Taylor Swift Jack Antonoff,Lover,2019,"I think he knows
His footprints on the sidewalk
Lead to where I can't stop
Go there every night
I think he knows
His hands around a cold glass
Make me wanna know that
Body like it's mine

He got that boyish look that I like in a man
I am an architect, I'm drawing up the plans
It's like I'm 17, nobody understands
No one understands

He got my heartbeat
Skipping down 16th Avenue
Got that, ah, I mean
Wanna see what's under that attitude like
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

I think he knows
When we get all alone
I'll make myself at home
And he'll want me to stay
I think he knows
He'd better lock it down
Or I won't stick around
'Cause good ones never wait (Ha)
He got that boyish look that I like in a man
I am an architect, I'm drawing up the plans
He's so obsessed with me and, boy, I understand
Boy, I understand

He got my heartbeat (Heartbeat)
Skipping down 16th Avenue
Got that, ah, I mean (I mean)
Wanna see what's under that attitude like
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

I want you, bless my
I want you, bless my
I want you, bless my
I want you, bless my soul

Lyrical smile, indigo eyes, hand on my thigh
We could follow the sparks, I'll drive
Lyrical smile, indigo eyes, hand on my thigh
We could follow the sparks, I'll drive
""So where we gonna go?""
I whisper in the dark
""Where we gonna go?""
I think he knows
He got my heartbeat (Heartbeat)
Skipping down 16th Avenue (Baby)
Got that, ah, I mean (I mean)
Wanna see what's under that attitude like (Yeah)
I want you, bless my soul
And I ain't gotta tell him, I think he knows
I think he knows

I want you, bless my
I want you, bless my
I want you, bless my (Oh, baby)
I want you, bless my soul (He got my heartbeat)
I want you, bless my (Skipping down 16th Avenue, baby)
I want you, bless my
I want you, bless my soul
And I ain't gotta tell him, I think he knows",Solo
105,I Want You Back (live cover),Taylor Swift,Freddie Perren Deke Richards Berry Gordy Jr. Alphonso Mizell,Speak Now World Tour – Live,2011,"Ooh baby give me one more chance
(I'll show you that I love you)
Oh won't  you please let me
Back in your heart?

Oh darling I was blind to let you go
(Let you go baby)
Now that I see you in her arms

I want you back
I want you back
I want you back

I want you back(I want you back), ooh-ooh baby

I want you back
I want you back
I want you back

Oh-woah-oh

Ooh baby give me one more chance
(I'll show you that I love you)
Won't  you please let me
Back in your heart?
Oh darling I was blind to let you go
(Let you go baby)
Now that I see you in her arms
I want you back
I want you back
Ooh-ooh baby",Cover
106,I Wish You Would,Taylor Swift,Taylor Swift Jack Antonoff,1989,2014,"It's 2 AM in your car
Windows down, you pass my street, the memories start
You say it's in the past, you drive straight ahead
You're thinking that I hate you now
'Cause you still don't know what I never said

I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now, it's all good
I wish you would

It's 2 AM in my room
Headlights pass the window pane
I think of you
We're a crooked love in a straight line down
Makes you want to run and hide
But it makes you turn right back around

I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now, it's all good
I wish you would
I wish we could go back
And remember what we were fighting for, and I
Wish you knew that
I miss you too much to be mad anymore, and I
Wish you were right here, right now, it's all good
I wish you would
I, I, I, I, I, I wish I, wish I
I, I, I, I, I, I wish I, wish I
I, I, I, I, I, I wish I, wish I

You always knew how to push my buttons
You give me everything and nothing
This mad, mad love makes you come running
To stand back where you stood
I wish you would, I wish you would
(I wish you would, I wish you would)
I wish you would, I wish you would
(I wish you would, I wish you would)
(I wish, I wish, I)

2 AM, here we are
See your face, hear my voice in the dark
We're a crooked love in a straight line down
Makes you wanna run and hide
But it made us turn right back around

I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now, it's all good
I wish you would
I wish you would come back
Wish I never hung up the phone like I did, I
Wish you knew that
I'd never forget you as long as I live, and I
Wish you were right here, right now, it's all good
I wish you would
I wish we could go back
And remember what we were fighting for, and I
Wish you knew that
I miss you too much to be mad anymore, and I
Wish you were right here, right now, it's all good
I wish you would
(I, I, I, I, I, I wish I, wish I)
You always knew how to push my buttons
You give me everything and nothing
This mad, mad love makes you come running
To stand back where you stood
I wish you would, I wish you would
(I wish you would, I wish you would)
I wish you would, I wish you would
(I wish you would, I wish you would, I wish you would)
(I, I, I, I, I, I wish I, wish I)
I, I, I, I, I, I wish I, wish I
I, I, I, I, I, I wish I, wish I
I wish you would",Solo
107,If This Was a Movie,Taylor Swift,Taylor Swift Martin Johnson,Speak Now (Deluxe edition)[f],2010 and 2023,"Last night, I heard my own heart beating
Sounded like footsteps on my stairs
Six months gone and I'm still reaching
Even though I know you're not there
I was playing back a thousand memories, baby
Thinking 'bout everything we've been through
Maybe I've been going back too much lately
When time stood still and I had you

Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside 'til I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie, you'd be here by now

I know people change and these things happen
But I remember how it was back then
Wrapped up in your arms and our friends were laughin'
'Cause nothing like this ever happened to them
Now I'm pacing down the hall, chasing down your street
Flashback to the night when you said to me
That nothing's gonna change, not for me and you
Back before I knew how much I had to lose
Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside 'til I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie, you'd be here by now

If you're out there, if you're somewhere, if you're moving on
I've been waiting for you ever since you've been gone
I just want it back the way it was before
And I just wanna see you back at my front door

And I say, ""Come back, come back, come back to me like
You would before you said it's not that easy
Before the fight, before I locked you out
But I take it all back now""

Come back, come back, come back to me like
You would, you would if this was a movie
Stand in the rain outside 'til I came out
Come back, come back, come back to me like
You could, you could if you just said you're sorry
I know that we could work it out somehow
But if this was a movie, you'd be here by now
You'd be here by now
It's not the kind of ending you wanna see now
Baby, what about the ending?
Oh, I thought you'd be here by now
Oh, oh, oh, oh, oh, oh
Thought you'd be here by now",Solo
108,Illicit Affairs,Taylor Swift,Taylor Swift Jack Antonoff,Folklore,2020,"Make sure nobody sees you leave
Hood over your head, keep your eyes down
Tell your friends you're out for a run
You'll be flushed when you return
Take the road less traveled by
Tell yourself you can always stop
What started in beautiful rooms
Ends with meetings in parking lots

And that's the thing about illicit affairs
And clandestine meetings and longing stares
It's born from just one single glance
But it dies and it dies and it dies
A million little times

Leave the perfume on the shelf
That you picked out just for him
So you leave no trace behind
Like you don't even exist
Take the words for what they are
A dwindling, mercurial high
A drug that only worked
The first few hundred times
And that's the thing about illicit affairs
And clandestine meetings and stolen stares
They show their truth one single time
But they lie and they lie and they lie
A million little times

And you wanna scream
Don't call me ""kid,"" don't call me ""baby""
Look at this godforsaken mess that you made me
You showed me colors you know I can't see with anyone else
Don't call me ""kid,"" don't call me ""baby""
Look at this idiotic fool that you made me
You taught me a secret language I can't speak with anyone else

And you know damn well
For you, I would ruin myself
A million little times",Solo
109,Innocent,Taylor Swift,Taylor Swift,Speak Now,2010,"I guess you really did it this time
Left yourself in your war path
Lost your balance on a tightrope
Lost your mind trying to get it back

Wasn't it easier in your lunchbox days?
Always a bigger bed to crawl into
Wasn't it beautiful when you believed in everything
And everybody believed in you?

It's alright, just wait and see
Your string of lights are still bright to me, oh
Who you are is not where you've been
You're still an innocent
You're still an innocent

Did some things you can't speak of
But at night, you live it all again
You wouldn't be shattered on the floor now
If only you had seen what you know now then

Wasn't it easier in your firefly-catching days?
When everything out of reach
Someone bigger brought down to you
Wasn't it beautiful running wild 'til you fell asleep
Before the monsters caught up to you?
It's alright, just wait and see
Your string of lights are still bright to me, oh
Who you are is not where you've been
You're still an innocent
It's okay, and life is a tough crowd
Thirty-two and still growing up now
Who you are is not what you did
You're still an innocent

Time turns flames to embers
You'll have new Septembers
Every one of us has messed up, too, ooh
Minds change like the weather
I hope you remember
Today is never too late to be brand new, oh

It's alright, just wait and see
Your string of lights is still bright to me, oh
Who you are is not where you've been
You're still an innocent
It's okay, and life is a tough crowd
Thirty-two and still growing up now
Who you are is not what you did
You're still an innocent
You're still an innocent
Lost your balance on a tightrope, oh
It's never too late to get it back",Solo
110,Invisible,Taylor Swift,Taylor Swift Robert Ellis Orrall,Taylor Swift (Deluxe edition),2007,"She can't see the way your eyes
Light up when you smile
She'll never notice how you stop and stare
Whenever she walks by

And you can't see me wanting you the way you want her
But you are everything to me

And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me
But if you only knew me
We could be a beautiful miracle, unbelievable
Instead of just invisible

Oh, yeah, oh

There's a fire inside of you
That can't help but shine through
She's never gonna see the light
No matter what you do
And all I think about is how to make you think of me
And everything that we could be

And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me
But if you only knew me
We could be a beautiful miracle, unbelievable
Instead of just invisible

Like shadows in a faded light
Oh, we're invisible
I just wanna open your eyes
And make you realize

I just wanna show you
She don't even know you
Baby, let me love you, let me want you
You just see right through me
But if you only knew me
We could be a beautiful miracle, unbelievable
Instead of just invisible
Oh, yeah

She can't see the way your eyes
Light up when you smile",Solo
111,Invisible String,Taylor Swift,Taylor Swift Aaron Dessner,Folklore,2020,"Green was the color of the grass
Where I used to read at Centennial Park
I used to think I would meet somebody there
Teal was the color of your shirt
When you were sixteen at the yogurt shop
You used to work at to make a little money

Time, curious time
Gave me no compasses, gave me no signs
Were there clues I didn't see?
And isn't it just so pretty to think
All along there was some
Invisible string
Tying you to me?
Ooh-ooh-ooh-ooh

Bad was the blood of the song in the cab
On your first trip to LA
You ate at my favorite spot for dinner
Bold was the waitress on our three-year trip
Getting lunch down by the Lakes
She said I looked like an American singer
Time, mystical time
Cutting me open, then healing me fine
Were there clues I didn't see?
And isn't it just so pretty to think
All along there was some
Invisible string
Tying you to me?
Ooh-ooh-ooh-ooh

A string that pulled me
Out of all the wrong arms, right into that dive bar
Something wrapped all of my past mistakes in barbed wire
Chains around my demons
Wool to brave the seasons
One single thread of gold
Tied me to you

Cold was the steel of my axe to grind
For the boys who broke my heart
Now I send their babies presents
Gold was the color of the leaves
When I showed you around Centennial Park
Hell was the journey but it brought me heaven
Time, wondrous time
Gave me the blues and then purple-pink skies
And it's cool
Baby, with me
And isn't it just so pretty to think
All along there was some
Invisible string
Tying you to me?
Ooh-ooh-ooh-ooh
Me
Ooh-ooh-ooh-ooh

(Ah-ah-ah)
(Ah-ah-ah)",Solo
112,It's Nice to Have a Friend,Taylor Swift,Taylor Swift Louis Bell Adam King Feeney,Lover,2019,"Ooh
Ooh

School bell rings, walk me home
Sidewalk chalk covered in snow
Lost my gloves, you give me one
""Wanna hang out?"" Yeah, sounds like fun
Video games, you pass me a note
Sleeping in tents

It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)

Light pink sky, up on the roof
Sun sinks down, no curfew
Twenty questions, we tell the truth
You've been stressed out lately, yeah, me too
Something gave you the nerve
To touch my hand

It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)

Church bells ring, carry me home
Rice on the ground looks like snow
Call my bluff, call you ""Babe""
Have my back, yeah, every day
Feels like home, stay in bed
The whole weekend

It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)
It's nice to have a friend (Ooh)
(Ooh)",Solo
113,It's Time to Go,Taylor Swift,Taylor Swift Aaron Dessner,Evermore (Deluxe version),2020,"When the dinner is cold and the chatter gets old
You ask for the tab
Or that moment again, he's insisting that friends
Look at each other like that
When the words of a sister come back in whispers
That prove she was not in fact what she seemed
Not a twin from your dreams
She's a crook who was caught

That old familiar body ache
The snaps from the same little breaks in your soul
You know when it's time to go

Twenty years at your job
Then the son of the boss gets the spot that was yours
Or trying to stay for the kids
When keeping it how it is will only break their hearts worse

That old familiar body ache
The snaps from the same little breaks in your soul
You know when it's time to go
Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing
Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing

Fifteen years, fifteen million tears
Begging 'til my knees bled
I gave it my all, he gave me nothing at all
Then wondered why I left
Now he sits on his throne in his palace of bones
Praying to his greed
He's got my past frozen behind glass
But I've got me

That old familiar body ache
The snaps from the same little breaks in my soul
I know when it's time to go

Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing
Sometimes giving up is the strong thing
Sometimes to run is the brave thing
Sometimes walking out is the one thing
That will find you the right thing
That will find you the right thing
And you know in your soul
You know in your soul
When it's time to go
You know, you know, you know, you know
When it's time to go
So then you go
Then you go
You just go",Solo
114,I'm Only Me When I'm with You,Taylor Swift,Taylor Swift Robert Ellis Orrall Angelo Petraglia,Taylor Swift (Deluxe edition),2007,"Friday night beneath the stars
In a field behind your yard
You and I are painting pictures in the sky
And sometimes, we don't say a thing
Just listen to the crickets sing
Everything I need is right here by my side

And I know everything about you
I don't wanna live without you

I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half, I'm only tryin' to
Let you know that what I feel is true
And I'm only me when I'm with you

Just a small-town boy and girl
Livin' in a crazy world
Tryna figure out what is and isn't true
And I don't try to hide my tears
My secrets or my deepest fears
Through it all, nobody gets me like you do
And you know everything about me
You say that you can't live without me

I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half, I'm only tryin' to
Let you know that what I feel is true
And I'm only me when I'm with you

When I'm with anybody else
It's so hard to be myself
And only you can tell

That I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half, I'm only tryin' to
Let you know that what I feel is true
And I'm only me
Who I wanna be
Well, I'm only me when I'm with you
With you
Uh-huh-huh, yeah",Solo
115,Ivy,Taylor Swift,Taylor Swift Jack Antonoff Aaron Dessner,Evermore,2020,"How's one to know?
I'd meet you where the spirit meets the bones
In a faith-forgotten land
In from the snow
Your touch brought forth an incandescent glow
Tarnished but so grand

And the old widow goes to the stone every day
But I don't, I just sit here and wait
Grieving for the living

Oh, goddamn
My pain fits in the palm of your freezing hand
Taking mine, but it's been promised to another
Oh, I can't
Stop you putting roots in my dreamland
My house of stone, your ivy grows
And now I'm covered in you

I wish to know
The fatal flaw that makes you long to be
Magnificently cursed
He's in the room
Your opal eyes are all I wish to see
He wants what's only yours
Oh, goddamn
My pain fits in the palm of your freezing hand
Taking mine, but it's been promised to another
Oh, I can't
Stop you putting roots in my dreamland
My house of stone, your ivy grows
And now I'm covered

Clover blooms in the fields
Spring breaks loose, the time is near
What would he do if he found us out?
Crescent moon, coast is clear
Spring breaks loose, but so does fear
He's gonna burn this house to the ground
How's one to know?
I'd live and die for moments that we stole
On begged and borrowed time
So tell me to run
Or dare to sit and watch what we'll become
And drink my husband's wine

Oh, goddamn
My pain fits in the palm of your freezing hand
Taking mine, but it's been promised to another
Oh, I can't
Stop you putting roots in my dreamland
My house of stone, your ivy grows
And now I'm covered in you
And I'm covered in you
So yeah, it's a fire
It's a goddamn blaze in the dark
And you started it
You started it
So yeah, it's a war
It's the goddamn fight of my life
And you started it
You started it

Oh, I can't
Stop you putting roots in my dreamland
My house of stone, your ivy grows
And now I'm covered
In you, in you
Now I'm covered in you
In you",Solo
116,Jump Then Fall,Taylor Swift,Taylor Swift,Fearless (Platinum edition) and  Fearless (Taylor's Version),2009 and 2021,"I like the way you sound in the morning
We're on the phone and without a warning
I realize your laugh is the best sound
I have ever heard
I like the way I can't keep my focus
I watch you talk, you didn't notice
I hear the words but all I can think is
""We should be together""

Every time you smile, I smile
And every time you shine, I'll shine for you

Woah-oh, I'm feelin' you, baby
Don't be afraid to jump, then fall
Jump, then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all
So, jump, then fall

Well, I like the way your hair falls in your face
You got the keys to me, I love each freckle on your face, oh
I've never been so wrapped up, honey
I like the way you're everything I ever wanted
I had time to think it oh-over
And all I can say is, ""Come closer""
Take a deep breath and jump, then fall into me
'Cause every time you smile, I smile
And every time you shine, I'll shine for you

Woah-oh, I'm feelin' you, baby
Don't be afraid to jump, then fall
Jump, then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all
So, jump, then fall

The bottom's gonna drop out from under our feet
I'll catch you, I'll catch you
When people say things that bring you to your knees
I'll catch you
The time is gonna come when you're so mad you could cry
But I'll hold you through the night until you smile

Woah-oh, I need you, baby
Don't be afraid, please, jump, then fall
Jump, then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all
So, jump, then fall
Jump, then fall, baby
Jump, then fall into me, into me
Every time you smile, I smile
And every time you shine, I'll shine
And every time you're here
Baby, I'll show you, I'll show you
You can jump, then fall, jump, then fall
Jump, then fall into me, into me, yeah",Solo
117,The Joker and the Queen (remixed single version),Ed Sheeran featuring Taylor Swift,Ed Sheeran Taylor Swift Johnny McDaid Fred Gibson Sam Roman,= (Tour Edition),2022,"I like the way you sound in the morning
We're on the phone and without a warning
I realize your laugh is the best sound
I have ever heard
I like the way I can't keep my focus
I watch you talk, you didn't notice
I hear the words but all I can think is
""We should be together""

Every time you smile, I smile
And every time you shine, I'll shine for you

Woah-oh, I'm feelin' you, baby
Don't be afraid to jump, then fall
Jump, then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all
So, jump, then fall

Well, I like the way your hair falls in your face
You got the keys to me, I love each freckle on your face, oh
I've never been so wrapped up, honey
I like the way you're everything I ever wanted
I had time to think it oh-over
And all I can say is, ""Come closer""
Take a deep breath and jump, then fall into me
'Cause every time you smile, I smile
And every time you shine, I'll shine for you

Woah-oh, I'm feelin' you, baby
Don't be afraid to jump, then fall
Jump, then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all
So, jump, then fall

The bottom's gonna drop out from under our feet
I'll catch you, I'll catch you
When people say things that bring you to your knees
I'll catch you
The time is gonna come when you're so mad you could cry
But I'll hold you through the night until you smile

Woah-oh, I need you, baby
Don't be afraid, please, jump, then fall
Jump, then fall into me
Baby, I'm never gonna leave you
Say that you wanna be with me too
'Cause I'ma stay through it all
So, jump, then fall
Jump, then fall, baby
Jump, then fall into me, into me
Every time you smile, I smile
And every time you shine, I'll shine
And every time you're here
Baby, I'll show you, I'll show you
You can jump, then fall, jump, then fall
Jump, then fall into me, into me, yeah",Feature
118,Karma,Taylor Swift,Taylor Swift Jack Antonoff Mark Spears Jahaan Sweet Keanu Torres,Midnights,2022,"You're talking shit for the hell of it
Addicted to betrayal, but you're relevant
You're terrified to look down
'Cause if you dare, you'll see the glare
Of everyone you burned just to get there
It's coming back around

And I keep my side of the street clean
You wouldn't know what I mean

'Cause karma is my boyfriend
Karma is a god
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that

Spiderboy, king of thieves
Weave your little webs of opacity
My pennies made your crown
Trick me once, trick me twice
Don't you know that cash ain't the only price?
It's coming back around
And I keep my side of the street clean
You wouldn't know what I mean

'Cause karma is my boyfriend
Karma is a god
Karma is the breeze in my hair on the weekend
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that

Ask me what I learned from all those years
Ask me what I earned from all those tears
Ask me why so many fade, but I'm still here
(I'm still here, I'm still here)

'Cause karma is the thunder
Rattling your ground
Karma's on your scent like a bounty hunter
Karma's gonna track you down
Step by step, from town to town
Sweet like justice, karma is a queen
Karma takes all my friends to the summit
Karma is the guy on the screen
Coming straight home to me
'Cause karma is my boyfriend (Karma is my boyfriend)
Karma is a god
Karma is the breeze in my hair on the weekend (Weekend)
Karma's a relaxing thought
Aren't you envious that for you it's not?
Sweet like honey, karma is a cat
Purring in my lap 'cause it loves me
Flexing like a goddamn acrobat
Me and karma vibe like that

Karma is my boyfriend
Karma is a god (Ah)
Uh-huh, mm
Karma's a relaxing thought",Solo
119,King of My Heart,Taylor Swift,Taylor Swift Max Martin Shellback,Reputation,2017,"I'm perfectly fine, I live on my own
I made up my mind, I'm better off bein' alone
We met a few weeks ago
Now you try on callin' me ""baby"" like tryin' on clothes

Salute to me, I'm your American queen
And you move to me like I'm a Motown beat
And we rule the kingdom inside my room
'Cause all the boys and their expensive cars
With their Range Rovers and their Jaguars
Never took me quite where you do

And all at once, you are the one I have been waiting for
King of my heart, body and soul, ooh-woah
And all at once, you're all I want, I'll never let you go
King of my heart, body and soul, ooh-woah

And all at once, I've been waiting, waiting
Ooh-woah, ooh-woah
And all at once, you are the one, I have been waiting, waiting
Body and soul, ooh-woah
And all at once
Late in the night, the city's asleep
Your love is a secret I'm hoping, dreaming, dying to keep
Change my priorities
The taste of your lips is my idea of luxury

Salute to me, I'm your American queen
And you move to me like I'm a Motown beat
And we rule the kingdom inside my room (Inside my room, oh)
'Cause all the boys and their expensive cars
With their Range Rovers and their Jaguars
Never took me quite where you do (Where you do)

And all at once, you are the one I have been waiting for
King of my heart, body and soul, ooh-woah
And all at once, you're all I want, I'll never let you go
King of my heart (My heart), body and soul, ooh-woah

And all at once (Hey), I've been waiting, waiting (Waiting)
Ooh-woah, ooh-woah
And all at once, you are the one I have been waiting (Waiting), waiting (Waiting)
Body and soul, ooh-woah
And all at once
Is this the end of all the endings?
My broken bones are mending
With all these nights we're spending
Up on the roof with a school girl crush
Drinking beer out of plastic cups
Say you fancy me, not fancy stuff
Baby, all at once, this is enough

And all at once, you are the one I have been waiting for
King of my heart, body and soul, ooh-woah

And all at once, you are the one I have been waiting for
King of my heart, body and soul, ooh-woah
And all at once, you're all I want, I'll never let you go
King of my heart (My heart), body and soul (My soul), ooh-woah

And all at once, I've been waiting, waiting
Ooh-woah, ooh-woah (Ooh-woah)
And all at once, you are the one I have been waiting, waiting
Body and soul, ooh-woah
And all at once",Solo
120,Labyrinth,Taylor Swift,Taylor Swift Jack Antonoff,Midnights,2022,"""It only hurts this much right now""
Was what I was thinkin' the whole time
Breathe in, breathe through, breathe deep, breathe out
I'll be gettin' over you my whole life

You know how scared I am of elevators
Never trust it if it rises fast
It can't last

Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?

It only feels this raw right now
Lost in the labyrinth of my mind
Break up, break free, break through, break down
You would break your back to make me break a smile

You know how much I hate
That everybody just expects me to bounce back
Just like that
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?
Uh-oh, I'm fallin' in love
Oh no, I'm fallin' in love again
Oh, I'm fallin' in love
I thought the plane was goin' down
How'd you turn it right around?",Solo
121,The Lakes,Taylor Swift,Taylor Swift Jack Antonoff,Folklore (Deluxe edition),2020,"Is it romantic how all my elegies eulogize me?
I'm not cut out for all these cynical clones
These hunters with cell phones

Take me to the Lakes where all the poets went to die
I don't belong and, my beloved, neither do you
Those Windermere peaks look like a perfect place to cry
I'm setting off, but not without my muse

What should be over burrowed under my skin
In heart-stopping waves of hurt
I've come too far to watch some namedropping sleaze
Tell me what are my words worth

Take me to the Lakes where all the poets went to die
I don't belong and, my beloved, neither do you
Those Windermere peaks look like a perfect place to cry
I'm setting off, but not without my muse

I want auroras and sad prose
I want to watch wisteria grow right over my bare feet
'Cause I haven't moved in years
And I want you right here
A red rose grew up out of ice frozen ground
With no one around to tweet it
While I bathe in cliffside pools
With my calamitous love and insurmountable grief
Take me to the Lakes where all the poets went to die
I don't belong and, my beloved, neither do you
Those Windermere peaks look like a perfect place to cry
I'm setting off, but not without my muse
No, not without you",Solo
122,Last Christmas (cover),Taylor Swift,George Michael,Sounds of the Season,2007,"Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special

Once bitten and twice shied
I keep my distance but you still catch my eye
Tell me baby
Do you recognize me
Well, it has been a year, it does not surprise me
Merry Christmas, I wrapped it up and sent it
With a note saying 'I love you', I meant it
Now I know what a fool I've been
But if you kiss me now, I know you would fool me again

Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special
A crowded room and friends with tired eyes
I am hiding from you and your soul of ice
My God, I thought you were someone to rely on
Me, I guess I was a shoulder to cry on
A face on a lover with a fire in his heart
A girl on a cover but you tore her apart
Maybe this year
Maybe this year I will give it to someone special

Because last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special
Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special

And last Christmas
And this year
It won't be anything like, anything like

Last Christmas I gave you my heart
But the very next day, you gave it away
This year, to save me from tears
I will give it to someone special",Cover
123,The Last Great American Dynasty,Taylor Swift,Taylor Swift Aaron Dessner,Folklore,2020,"Rebekah rode up on the afternoon train, it was sunny
Her saltbox house on the coast took her mind off St. Louis
Bill was the heir to the Standard Oil name and money
And the town said, ""How did a middle-class divorcée do it?""
The wedding was charming, if a little gauche
There's only so far new money goes
They picked out a home and called it ""Holiday House""
Their parties were tasteful, if a little loud
The doctor had told him to settle down
It must have been her fault his heart gave out

And they said
""There goes the last great American dynasty
Who knows, if she never showed up, what could've been
There goes the maddest woman this town has ever seen
She had a marvelous time ruining everything""

Rebekah gave up on the Rhode Island set forever
Flew in all her Bitch Pack friends from the city
Filled the pool with champagne and swam with the big names
And blew through the money on the boys and the ballet
And losing on card game bets with Dalí
And they said
""There goes the last great American dynasty
Who knows, if she never showed up, what could've been
There goes the most shameless woman this town has ever seen
She had a marvelous time ruining everything""

They say she was seen on occasion
Pacing the rocks, staring out at the midnight sea
And in a feud with her neighbor
She stole his dog and dyed it key lime green
Fifty years is a long time
Holiday House sat quietly on that beach
Free of women with madness, their men and bad habits
And then it was bought by me

Who knows, if I never showed up, what could've been
There goes the loudest woman this town has ever seen
I had a marvelous time ruining everything

I had a marvelous time ruining everything
A marvelous time ruining everything
A marvelous time
I had a marvelous time",Solo
124,Last Kiss,Taylor Swift,Taylor Swift,Speak Now,2010,"I still remember the look on your face
Lit through the darkness at 1:58
The words that you whispered for just us to know
You told me you loved me
So why did you go away?
Away

I do recall now, the smell of the rain
Fresh on the pavement
I ran off the plane
That July ninth, the beat of your heart
It jumps through your shirt
I can still feel your arms

But now I'll go
Sit on the floor wearing your clothes
All that I know is I don't know
How to be something you miss

I never thought we'd have a last kiss
Never imagined we'd end like this
Your name, forever the name on my lips
I do remember the swing of your step
The life of the party, you're showing off again
And I'd roll my eyes and then you'd pull me in
I'm not much for dancing, but for you, I did
Because I love your handshake, meeting my father
I love how you walk with your hands in your pockets
How you'd kiss me when I was in the middle of saying something
There's not a day I don't miss those rude interruptions

And I'll go
Sit on the floor wearing your clothes
All that I know is I don't know
How to be something you miss

I never thought we'd have a last kiss
I never imagined we'd end like this
Your name, forever the name on my lips, ooh

So I'll watch your life in pictures like I used to watch you sleep
And I feel you forget me like I used to feel you breathe
And I'll keep up with our old friends
Just to ask them how you are
Hope it's nice where you are
And I hope the sun shines and it's a beautiful day
And something reminds you, you wish you had stayed
You can plan for a change in the weather and time
But I never planned on you changing your mind
So, I'll go
Sit on the floor wearing your clothes
All that I know is I don't know
How to be something you miss

I never thought we'd have a last kiss
Never imagined we'd end like this
Your name, forever the name on my lips

Just like our last kiss
Forever the name on my lips
Forever the name on my lips
Just like our last",Solo
